"Cubo: Brazil Competitive 3MIS - PSA"
"Colunas: Medidas (Nível4 - Contagem),Grupo de idade,Gênero"
"Linhas: Segmento PSA,Modelo substituído,Modelo PSA (2008,208,3008,308,408,Aircross,C3,C4 Cactus,C4 Lounge)"
"Ipsos RDA Quality Connection - CONFIDENCIAL"
"14/01/2020 07:39:09"

"Segmento PSA";"Modelo substituído";"Modelo PSA";"Nível4 - Contagem,[em branco],[em branco]";"Nível4 - Contagem,[em branco],Mulher";"Nível4 - Contagem,[em branco],Homem";"Nível4 - Contagem,Menos de 20,Mulher";"Nível4 - Contagem,Menos de 20,Homem";"Nível4 - Contagem,20-24,Mulher";"Nível4 - Contagem,20-24,Homem";"Nível4 - Contagem,25-29,Mulher";"Nível4 - Contagem,25-29,Homem";"Nível4 - Contagem,30-34,[em branco]";"Nível4 - Contagem,30-34,Mulher";"Nível4 - Contagem,30-34,Homem";"Nível4 - Contagem,35-39,Mulher";"Nível4 - Contagem,35-39,Homem";"Nível4 - Contagem,40-44,Mulher";"Nível4 - Contagem,40-44,Homem";"Nível4 - Contagem,45-49,Mulher";"Nível4 - Contagem,45-49,Homem";"Nível4 - Contagem,50-54,[em branco]";"Nível4 - Contagem,50-54,Mulher";"Nível4 - Contagem,50-54,Homem";"Nível4 - Contagem,55-59,Mulher";"Nível4 - Contagem,55-59,Homem";"Nível4 - Contagem,60-64,[em branco]";"Nível4 - Contagem,60-64,Mulher";"Nível4 - Contagem,60-64,Homem";"Nível4 - Contagem,65-69,Mulher";"Nível4 - Contagem,65-69,Homem";"Nível4 - Contagem,70-74,Mulher";"Nível4 - Contagem,70-74,Homem";"Nível4 - Contagem,75-79,Mulher";"Nível4 - Contagem,75-79,Homem";"Nível4 - Contagem,80 e mais,Mulher";"Nível4 - Contagem,80 e mais,Homem";
"Segmento B";"JAC_J2";"C3";"";"";"";"";"";"";"";"";"";"";68;"";"";"";"";14;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"JAC_J3";"208";"";"";"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"JAC_J6";"C3";"";"";"";"";"";"";"";"";38;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"JEE_OTH";"C3";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";102;"";"";"";"";"";"";"";"";"";"";"";"";17;"";"";"";"";"";
"Segmento B";"KA";"208";"";"";"";"";"";"";"";96;42;"";70;204;85;121;52;95;"";"";"";"";"";30;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"KA";"C3";"";"";"";"";"";"";"";66;7;"";70;"";77;7;"";81;1;"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"KA+";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";74;"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"KORANDO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";55;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"KWID";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";10;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LINEA";"208";"";"";"";"";"";"";"";"";72;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LIVINA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";16;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LIVINA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";71;"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LOGAN";"208";"";"";"";"";"";"";"";"";"";"";"";"";39;"";11;28;"";71;"";"";"";"";19;"";"";28;"";"";"";"";"";"";"";"";
"Segmento B";"LOGAN";"C3";"";"";"";"";"";"";"";"";"";"";10;"";"";150;"";"";"";"";"";"";20;"";11;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LOUNGE";"208";"";"";"";"";"";"";"";"";"";"";"";65;"";"";"";114;"";19;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"LOUNGE";"C3";"";"";"";"";"";"";"";"";"";"";"";17;"";132;"";"";"";"";"";68;"";"";"";"";"";"";"";6;"";"";"";"";"";"";
"Segmento B";"MARCH";"208";"";"";"";"";"";"";"";48;104;"";"";41;7;14;30;"";14;"";"";26;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MARCH";"C3";"";"";34;"";"";"";29;126;"";"";93;62;24;39;23;34;"";"";"";59;"";"";"";"";"";23;"";"";"";"";"";"";"";"";
"Segmento B";"MEGANE";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";16;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MEGANE";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MER_A";"208";"";"";"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MERIVA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MILLE";"208";"";"";"";"";"";"";"";"";27;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";"";"";
"Segmento B";"MIT_ASX";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";40;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MIT_OTH";"C3";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MLANCER";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"MONTANA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"NIS_OTH";"208";"";"";"";"";"";"";"";"";"";"";35;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"NIS_OTH";"C3";"";"";"";"";"";11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"ONIX";"208";"";"";52;"";"";8;"";48;"";"";"";43;59;"";62;103;"";8;"";"";"";102;"";"";"";"";"";"";"";"";6;"";"";24;
"Segmento B";"ONIX";"C3";"";"";"";"";"";"";"";76;117;"";12;63;41;"";"";15;"";22;"";32;"";"";"";"";"";"";"";18;37;"";"";"";"";"";
"Segmento B";"ONIXACT";"C3";"";"";"";"";"";"";"";"";"";"";"";"";55;"";"";11;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"OTHER";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";43;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PAJERO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";142;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PAJERO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"";3;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALIO";"208";"";"";8;"";"";23;"";19;42;"";26;25;"";23;58;68;"";"";"";84;"";16;"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALIO";"C3";"";"";"";"";"";"";"";13;53;"";162;46;5;10;22;82;133;59;"";9;"";"";"";"";"";23;"";"";"";"";"";"";"";"";
"Segmento B";"PALIOADV";"208";"";"";"";"";"";"";"";19;"";"";"";22;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALIOADV";"C3";"";"";"";"";"";"";"";"";"";"";78;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALION";"208";"";"";"";"";"";"";"";"";"";"";"";35;"";31;9;"";"";"";"";19;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALION";"C3";"";"";51;"";"";"";"";"";"";"";24;18;"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALLAS";"208";"";"";"";"";"";"";"";"";"";"";"";59;42;8;"";"";"";80;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PALLAS";"C3";"";"";"";"";"";"";"";"";11;"";"";29;"";"";"";"";"";"";"";"";"";"";44;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_2008";"208";"";"";"";"";"";"";"";"";29;"";"";"";"";177;21;"";"";41;"";"";"";8;"";"";"";10;"";12;"";"";"";"";"";"";
"Segmento B";"PEU_2008";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";29;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_206";"208";"";61;"";"";"";"";"";115;85;"";"";72;16;"";96;"";39;"";"";7;50;"";23;"";"";"";"";21;"";17;"";"";"";"";
"Segmento B";"PEU_206";"C3";"";"";"";"";"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_207";"208";"";101;10;"";"";"";193;103;151;"";206;277;361;324;238;267;282;192;"";252;"";144;34;"";102;29;33;84;"";"";"";16;"";"";
"Segmento B";"PEU_207";"C3";"";"";12;"";"";28;"";15;19;"";88;97;280;51;"";13;10;"";"";"";"";"";"";"";15;52;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_208";"208";"";"";"";"";"";37;88;41;260;"";382;842;310;571;89;853;217;435;"";169;279;242;267;"";24;399;28;116;12;20;"";68;"";"";
"Segmento B";"PEU_208";"C3";"";"";"";"";"";"";"";"";"";"";35;"";74;"";"";"";"";"";"";"";20;"";18;"";"";10;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_3008";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";19;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_3008";"C3";"";"";"";"";"";"";"";"";"";"";"";"";15;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_307";"208";"";"";"";"";"";"";"";"";42;"";41;50;117;"";6;75;"";"";"";"";"";"";21;"";"";3;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_307";"C3";"";"";"";"";"";"";27;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";"";
"Segmento B";"PEU_308";"208";"";"";"";"";"";"";"";"";48;"";15;49;"";42;29;43;"";4;"";22;39;"";60;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_308";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";60;7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_407";"208";"";"";"";"";"";"";"";"";227;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_408";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";31;"";58;"";"";"";"";"";"";33;"";"";29;"";"";"";"";"";"";"";"";
"Segmento B";"PEU_408";"C3";"";"";"";"";"";"";"";"";"";"";"";53;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PEU_OTH";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";68;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PICANTO";"208";"";"";"";"";"";27;"";"";"";"";15;"";"";"";8;12;48;"";"";"";"";"";"";"";"";"";"";39;"";"";"";"";"";"";
"Segmento B";"PICANTO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";"";"";"";"";"";"";72;"";"";"";42;"";"";"";"";"";"";"";"";
"Segmento B";"PICASSO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";40;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PICASSO4";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";25;"";"";"";"";"";"";"";"";
"Segmento B";"POLO";"208";"";"";"";"";"";"";"";"";48;"";"";19;104;"";19;"";"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PRISMA";"208";"";"";"";"";"";"";"";"";22;"";34;95;21;56;"";25;"";"";"";21;18;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PRISMA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;"";80;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PRISMAJO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";43;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"PUNTO";"208";"";"";54;"";"";"";17;"";106;"";160;87;"";81;"";40;32;"";"";"";"";19;"";"";14;"";"";"";"";"";"";"";"";"";
"Segmento B";"PUNTO";"C3";"";"";"";"";"";"";"";49;"";"";"";5;112;"";"";31;"";"";"";33;"";"";"";"";"";9;"";"";"";"";"";"";"";"";
"Segmento B";"PWKEND_N";"C3";"";"";"";"";"";"";"";"";"";"";"";34;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"REN_OTH";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";33;17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"S10_T10";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";18;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SANDERO";"208";"";"";"";"";"";"";"";44;240;"";104;"";37;185;27;59;79;34;"";"";25;31;51;"";"";"";"";25;"";"";"";"";"";94;
"Segmento B";"SANDERO";"C3";"";"";"";"";"";"";37;15;"";"";97;8;170;89;55;8;50;27;"";56;279;31;"";"";"";"";8;"";"";"";"";"";"";"";
"Segmento B";"SANDEROS";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";11;54;31;6;"";"";"";"";"";"";"";"";"";40;"";"";"";"";"";"";"";
"Segmento B";"SANDEROS";"C3";"";"";"";"";"";"";"";"";"";"";"";"";190;"";101;"";"";"";"";73;"";21;"";"";6;"";"";"";"";"";"";"";"";"";
"Segmento B";"SANDRS2";"208";"";"";"";"";"";"";"";"";16;"";"";"";19;11;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SANTAFE";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";19;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SENTRA";"208";"";"";"";"";"";"";"";"";17;"";"";"";44;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SENTRA";"C3";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SIENAN";"208";"";"";"";"";"";"";"";"";12;"";"";"";"";57;"";"";"";"";"";43;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SIENAN";"C3";"";"";"";"";"";"";"";"";"";"";"";191;"";"";"";"";10;2;"";"";"";"";"";"";"";"";"";"";"";17;"";"";"";"";
"Segmento B";"SONIC";"208";"";"";"";"";"";"";"";138;94;"";"";"";16;"";"";8;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SOUL";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";73;"";7;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SPACEFOX";"208";"";49;"";"";"";"";"";"";"";"";"";"";"";"";27;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SPIN";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";45;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SPIN";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";12;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SPORTAGE";"208";"";"";"";"";"";"";"";"";"";"";"";145;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"STILO";"C3";"";30;"";"";"";"";"";"";"";"";"";"";"";13;"";"";28;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"STRADA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"STRADA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";9;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"STRADAN";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";14;"";"";"";"";"";"";"";"";"";
"Segmento B";"SUB_XV";"208";"";"";"";"";"";"";"";"";"";"";"";"";31;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SUB_XV";"C3";"";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SUZ_SX4";"C3";"";"";"";"";"";"";"";"";16;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SYMBOL";"208";"";"";"";"";"";"";"";"";"";"";36;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"SYMBOL";"C3";"";"";174;"";"";"";"";"";"";"";"";"";"";33;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TIGGO";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";18;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TIIDA";"208";"";"";"";"";"";"";"";"";"";"";"";32;"";"";"";"";"";10;"";"";"";"";"";"";38;"";"";"";"";"";"";"";"";"";
"Segmento B";"TIIDA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";78;"";22;"";"";"";"";"";"";32;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TORO";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";31;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TOY_RAV4";"208";"";"";"";"";"";"";"";"";"";"";"";133;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TOY_RAV4";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";20;"";"";"";"";"";"";"";"";"";
"Segmento B";"TUCSON";"208";"";"";"";"";"";"";"";"";"";"";49;"";"";"";"";"";21;"";"";32;"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"TUCSON";"C3";8;"";"";"";"";"";"";"";"";"";"";"";"";103;"";"";"";"";"";"";37;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"UNO";"208";"";"";"";"";"";"";3;93;9;"";"";115;"";33;"";"";"";"";"";24;"";22;"";"";"";12;"";"";"";"";"";"";"";"";
"Segmento B";"UNO";"C3";"";"";"";"";"";"";"";137;13;"";"";55;30;108;282;"";17;"";"";"";"";3;7;"";"";"";10;"";"";"";"";"";"";"";
"Segmento B";"VECTRA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";7;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VECTRA";"C3";"";"";"";"";"";"";"";"";"";"";"";"";42;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VELOSTER";"208";"";"";"";"";"";"";"";"";"";"";"";28;"";"";"";53;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VERSA";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24;"";"";"";"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VERSA";"C3";"";"";"";"";"";"";"";"";"";"";56;"";"";"";"";24;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";39;
"Segmento B";"VLV_S60";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VOYAGE";"208";"";"";"";"";"";"";266;"";145;"";33;"";"";202;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VOYAGE";"C3";"";"";"";"";"";80;205;"";"";"";"";27;"";"";"";10;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VW_GOLG5";"208";"";"";"";"";"";"";"";"";78;"";"";"";"";"";18;27;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VW_GOLG5";"C3";"";"";"";"";"";"";"";"";"";"";73;31;26;"";"";"";"";"";"";"";"";"";3;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VW_OTH";"208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";54;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"VW_UP";"208";"";"";"";"";"";"";"";"";"";"";7;113;10;28;"";"";12;"";"";"";28;"";"";"";25;9;"";32;"";"";"";"";"";"";
"Segmento B";"VW_UP";"C3";"";"";"";"";"";"";19;"";99;"";"";38;69;"";14;"";"";155;"";"";"";"";14;"";"";"";"";"";"";"";"";"";"";"";
"Segmento B";"XSARA";"C3";"";"";"";"";"";"";"";"";"";"";22;71;38;"";5;31;13;"";"";"";56;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"[em branco]";"2008";3940;120;12;"";14;"";104;52;270;"";111;331;238;356;91;254;228;193;"";301;105;107;207;"";72;157;"";142;"";37;"";178;"";"";
"Segmento B Tout-terrain";"[em branco]";"Aircross";1883;9;5;"";"";"";"";"";27;"";71;149;86;137;18;77;100;359;"";25;122;11;160;"";27;100;"";78;"";119;"";"";"";8;
"Segmento B Tout-terrain";"[em branco]";"C4 Cactus";3267;"";137;"";"";"";72;135;111;"";52;409;"";690;78;524;78;377;"";215;434;152;354;"";12;291;"";122;15;170;"";"";"";89;
"Segmento B Tout-terrain";"ACCORD";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";29;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ACTYON";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";35;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AGILE";"2008";"";"";"";"";"";"";"";"";"";"";"";72;"";162;"";27;36;"";"";"";"";36;"";"";"";"";"";9;"";"";"";"";"";"";
"Segmento B Tout-terrain";"AGILE";"Aircross";"";"";"";"";"";"";"";"";"";"";"";93;15;"";44;"";"";"";"";"";13;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AGILE";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";25;"";"";"";77;"";"";"";"";"";"";"";"";"";"";"";13;"";"";"";"";"";"";
"Segmento B Tout-terrain";"AIRCROSS";"2008";"";"";110;"";"";"";"";"";"";"";"";"";16;81;"";25;21;87;"";19;37;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AIRCROSS";"Aircross";"";24;80;"";"";"";"";"";42;"";38;"";6;128;251;314;79;62;"";33;152;162;75;"";51;303;"";61;"";28;"";"";"";"";
"Segmento B Tout-terrain";"AIRCROSS";"C4 Cactus";"";"";"";"";"";"";"";"";12;"";"";"";56;7;14;115;18;78;"";98;103;173;111;"";98;92;40;159;"";48;"";"";"";"";
"Segmento B Tout-terrain";"AMAROK";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";66;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AMAROK";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";54;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ASTRA_2";"2008";"";"";"";"";"";"";"";"";41;"";"";"";"";"";"";"";17;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ASTRA_2";"Aircross";"";"";"";"";"";"";"";"";"";"";"";8;"";"";63;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"ASTRA_2";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";54;"";22;"";"";"";"";"";"";"";"";"";"";51;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AUDIA1";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";44;"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AUDIA3S3";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";133;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AUDIA4S4";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AZERA";"2008";"";"";"";"";"";"";"";"";"";"";"";50;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AZERA";"Aircross";"";"";"";"";"";"";"";"";"";"";"";"";"";75;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"AZERA";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";12;"";"";"";"";25;"";"";"";"";"";"";"";"";"";"";"";"";"";
"Segmento B Tout-terrain";"BLAZER";"2008";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";10;"";"";"";"";"";"";
"Segmento B Tout-terrain";"BLAZERTR";"C4 Cactus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";28;"";"";"";"";"";"";"";"";"";"";"";
